"TERM : 1002","","","","Percentage Distribution of Grades","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1999-2000","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"E C E
Dept. Total
320","2655","3.183","34.5","19.7","17.1","8.4","8.7","2.0","1.1","5.3","0.0",".","",".","2.4","0.5","0.2","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","224","2.988","37.9","21.0","18.8","8.0","10.3","2.2","1.8",".",".",".","",".",".",".",".",".","."
"Junior","669","3.095","32.9","21.7","19.6","13.0","9.3","1.8","1.3","0.3",".",".","",".",".",".","0.1",".","."
"Senior","1121","3.099","35.0","20.1","18.2","9.1","12.0","3.1","1.3","0.8",".","0.2","",".","0.1","0.1","0.1",".","."
"Undergraduates","2017","3.086","34.6","20.8","18.7","10.3","10.9","2.6","1.4","0.5",".","0.1","",".","0.0","0.0","0.1",".","."
"Special","37","3.494","40.5","13.5","8.1","8.1","5.4",".",".",".",".",".","",".",".","21.6",".","2.7","."
"Graduate","699","3.589","29.3","14.2","10.7","1.9","1.3",".",".","19.0","0.1","13.3","",".","8.9","0.4","0.3","0.4","."
"Prof Yr 2","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Professionals","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Dept. Total","2754","3.183","33.3","19.0","16.5","8.1","8.4","1.9","1.0","5.3","0.0","3.4","",".","2.3","0.4","0.1","0.1","."
