"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
014","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"039
198","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"198
040","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
042","12","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"198
053","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
198","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","71","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"199
040
Directed Study","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","148","3.197","15.5","27.0","45.3","8.1","2.0","0.7","0.7",".",".",".",".",".",".",".",".","0.7"
"201
001
W Culture:Sci,Tech,Philos I","68","3.228","25.0","25.0","38.2","2.9","5.9","1.5","1.5",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","92","3.114","17.4","19.6","44.6","12.0","4.3","1.1","1.1",".",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","167","3.358","25.1","34.1","31.7","5.4","1.2","0.6","0.6","1.2",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","38","3.689","55.3","31.6","5.3","2.6","2.6",".",".",".",".",".",".",".",".",".","2.6","."
"206
001
W Cul:Pol,Econ&Soc Thght II","217","3.092","20.3","22.1","33.6","9.7","8.8","2.3","1.4","1.8",".",".",".",".",".",".",".","."
"208
001
Hist of Western Culture II","44","3.477","40.9","31.8","15.9","6.8",".",".","2.3",".","2.3",".",".",".",".",".",".","."
"236
001
Bascom Course","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","40","3.350","42.5","17.5","32.5","2.5",".",".","5.0",".",".",".",".",".",".",".",".","."
"271
001
PreCoperncn Astrn-Crosscltr","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"001
401
Global Culture Capstone Smr","18","3.853","72.2","16.7","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"ILS
Dept. Total
500","927","3.267","24.6","23.8","30.6","6.6","3.6","1.0","1.1","0.8","0.1","7.2","0.4",".",".",".","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","278","3.145","15.5","24.1","34.2","8.3","3.2","1.4","1.4",".",".","10.8","1.1",".",".",".",".","."
"Sophomore","360","3.302","25.8","23.6","31.1","5.6","3.9","0.8","0.6",".",".","7.8","0.3",".",".",".","0.3","0.3"
"Junior","161","3.398","34.8","24.8","24.8","5.6","3.1",".","1.2","0.6",".","5.0",".",".",".",".",".","."
"Senior","126","3.258","28.6","22.2","28.6","7.1","4.0","1.6","1.6","4.8","0.8","0.8",".",".",".",".",".","."
"Undergraduates","925","3.267","24.6","23.8","30.6","6.6","3.6","1.0","1.1","0.8","0.1","7.2","0.4",".",".",".","0.1","0.1"
"Special","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dept. Total","927","3.267","24.6","23.8","30.6","6.6","3.6","1.0","1.1","0.8","0.1","7.2","0.4",".",".",".","0.1","0.1"
