"","530
002","9","3.700","44.4","55.6",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Topics in Folklore","Course Total","14","3.662","35.7","50.0","14.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Local Culture-Upper Midwest","540
001","30","3.393","43.3","20.0","16.7","6.7",".","6.7",".","6.7",".",".",".","",".","",".",".",".","."
"Seminar in Ethnomusicology","915
002","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"FOLKLORE
380","Dept. Total","238","3.381","39.9","21.8","18.9","7.6","4.2","1.3","1.3","4.2","0.4",".","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","2.750","20.0","15.0","25.0","15.0","15.0","5.0","5.0",".",".",".","",".","",".",".",".",".","."
"Sophomore","","60","3.293","43.3","13.3","21.7","11.7","8.3",".","1.7",".",".",".","",".","",".",".",".",".","."
"Junior","","31","3.477","45.2","22.6","22.6","3.2","6.5",".",".",".",".",".","",".","",".",".",".",".","."
"Senior","","120","3.482","37.5","28.3","15.8","5.8",".","1.7","0.8","8.3","0.8",".","",".","",".","0.8",".",".","."
"Undergraduates","","231","3.365","38.5","22.5","19.0","7.8","4.3","1.3","1.3","4.3","0.4",".","",".","",".","0.4",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","","5","3.800","80.0",".","20.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","238","3.381","39.9","21.8","18.9","7.6","4.2","1.3","1.3","4.2","0.4",".","",".","",".","0.4",".",".","."
