"TERM : 1072","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2006-2007","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY
936","Dept. Total","222","3.544","45.5","25.7","22.1","",".","",".","",".","",".","5.4","",".",".","",".","",".","",".",".","0.5","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","2","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","9","4.000","88.9",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","11.1","."
"Senior","","10","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","22","4.000","95.5",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","4.5","."
"Prof Yr 3","","75","3.380","26.7","24.0","48.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","1.3"
"Prof Yr 4","","125","3.741","48.0","31.2","10.4","",".","",".","",".","",".","9.6","",".",".","",".","",".","",".",".",".","0.8"
"Professionals","","200","3.516","40.0","28.5","24.5","",".","",".","",".","",".","6.0","",".",".","",".","",".","",".",".",".","1.0"
"","Dept. Total","222","3.544","45.5","25.7","22.1","",".","",".","",".","",".","5.4","",".",".","",".","",".","",".",".","0.5","0.9"
