"","990
027","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
037","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Thesis Research","Course Total","9","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Independent Research","999
035","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"E ASIAN
295","Dept. Total","946","3.553","49.6","26.1","12.4","5.4","1.6","0.7","1.0","2.6","",".",".",".","",".","0.3","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","84","3.469","46.4","25.0","11.9","7.1","3.6","2.4","1.2","1.2","",".",".",".","",".",".",".","1.2","."
"Sophomore","","189","3.588","52.4","29.6","7.9","6.3","2.1",".","1.1",".","",".",".",".","",".",".","0.5",".","."
"Junior","","208","3.518","46.2","30.3","14.4","4.8","1.4","1.0","1.4","0.5","",".",".",".","",".",".",".",".","."
"Senior","","344","3.518","47.4","24.4","16.0","6.4","1.5","0.9","0.6","2.3","",".",".",".","",".","0.6",".",".","."
"Undergraduates","","825","3.530","48.1","27.2","13.3","6.1","1.8","0.8","1.0","1.2","",".",".",".","",".","0.2","0.1","0.1","."
"Special","","19","3.727","63.2","21.1","5.3",".",".",".","5.3","5.3","",".",".",".","",".",".",".",".","."
"Graduate","","100","3.799","59.0","19.0","6.0","1.0",".",".",".","13.0","",".",".",".","",".","1.0","1.0",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".","",".",".",".",".","."
"","Dept. Total","946","3.553","49.6","26.1","12.4","5.4","1.6","0.7","1.0","2.6","",".",".",".","",".","0.3","0.2","0.1","."
