"COMPUTER SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Found of Mobl Systms&Applctns","407","001","144","3.549","43.8","30.6","21.5","2.8",".","1.4",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412","001","116","3.603","62.9","15.5","11.2","5.2","3.4","0.9","0.9",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","51","2.706","25.5","7.8","23.5","3.9","21.6","17.6",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","27","2.537","18.5","3.7","22.2","7.4","33.3","14.8",".",".",".",".",".",".",".",".",".","."
"Software Engineering","506","001","101","3.015","15.8","25.7","24.8","14.9","15.8","2.0",".","1.0",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","54","3.417","40.7","29.6","16.7","5.6","5.6",".","1.9",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","36","2.833","19.4","19.4","27.8","13.9","5.6","8.3","5.6",".",".",".",".",".",".",".",".","."
"Image Processing","533","001","11","3.045","27.3","36.4","9.1","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536","001","109","2.954","24.8","21.1","24.8","11.9","7.3","3.7","6.4",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","537","002","110","2.929","20.9","18.2","30.9","10.0","9.1","4.5","4.5","0.9",".",".",".",".","0.9",".",".","."
"","540","001","124","3.044","27.4","21.8","21.8","8.1","14.5","4.0","2.4",".",".",".",".",".",".",".",".","."
"","540","002","192","3.180","35.4","17.2","17.2","17.7","7.8","4.7",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","","Course Total","316","3.127","32.3","19.0","19.0","13.9","10.4","4.4","0.9",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","43","3.453","41.9","30.2","16.3","4.7","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"Computer Graphics","559","001","76","3.200","30.3","21.1","22.4","13.2","9.2","2.6",".",".",".",".",".",".","1.3",".",".","."
"Database Mgt Systems","564","001","116","3.037","21.6","18.1","35.3","15.5","4.3","3.4","1.7",".",".",".",".",".",".",".",".","."
"Medical Image Analysis","567","001","11","3.650","63.6","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".","9.1","."
"","570","001","125","3.847","74.4","20.8","2.4","1.6",".",".",".","0.8",".",".",".",".",".",".",".","."
"","570","002","53","3.802","67.9","24.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Humn-Comp Interaction","","Course Total","178","3.833","72.5","21.9","3.9","1.1",".",".",".","0.6",".",".",".",".",".",".",".","."
"Introduction to Algorithms","577","001","249","3.026","14.5","12.4","47.4","16.9","7.6","0.4","0.4","0.4",".",".",".",".",".",".",".","."
"","638","002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","638","003","49","2.939","10.2","4.1","57.1","20.4","8.2",".",".",".",".",".",".",".",".",".",".","."
"","638","004","63","3.071","15.9","14.3","44.4","19.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","638","005","62","3.065","14.5","11.3","53.2","14.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"","638","006","47","3.085","19.1","10.6","44.7","19.1","6.4",".",".",".",".",".",".",".",".",".",".","."
"","638","007","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","","Course Total","265","3.352","27.2","10.6","41.5","15.1","5.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640","001","100","3.450","41.0","34.0","10.0","10.0","3.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 202 of 422",""
