"TERM : 1122","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2011-2012","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","317","3.742","62.5","19.9","7.6","0.3","",".","",".","",".","3.8","",".",".","",".","2.8","",".",".","2.2","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","16","3.939","87.5","12.5",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","29","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","49","3.981","95.9","4.1",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","20","",".",".",".",".","",".","",".","",".","60.0","",".",".","",".","40.0","",".",".",".","."
"Prof Yr 3","","34","3.376","23.5","26.5","32.4","2.9","",".","",".","",".",".","",".",".","",".",".","",".",".","5.9","8.8"
"Prof Yr 4","","211","3.811","66.4","24.6","6.2",".","",".","",".","",".",".","",".",".","",".","0.5","",".",".","2.4","."
"Professionals","","245","3.704","60.4","24.9","9.8","0.4","",".","",".","",".",".","",".",".","",".","0.4","",".",".","2.9","1.2"
"","Dept. Total","317","3.742","62.5","19.9","7.6","0.3","",".","",".","",".","3.8","",".",".","",".","2.8","",".",".","2.2","0.9"
