"TERM : 1122","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2011-2012","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","224","3.636","39.3","12.9","11.6","1.8","1.3","",".","",".","29.5","",".",".","",".","3.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","17","3.778","82.4",".","11.8",".","5.9","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","54","3.704","64.8","11.1","16.7","1.9","1.9","",".","",".","3.7","",".",".","",".",".","",".",".",".","."
"Undergraduates","","73","3.729","69.9","8.2","15.1","1.4","2.7","",".","",".","2.7","",".",".","",".",".","",".",".",".","."
"Special","","4","3.250","50.0",".","25.0","25.0",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","142","3.560","21.8","16.2","9.9","1.4","0.7","",".","",".","45.1","",".",".","",".","4.9","",".",".",".","."
"Prof Yr 3","","4","4.000","75.0",".",".",".",".","",".","",".",".","",".",".","",".","25.0","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","5","4.000","80.0",".",".",".",".","",".","",".",".","",".",".","",".","20.0","",".",".",".","."
"","Dept. Total","224","3.636","39.3","12.9","11.6","1.8","1.3","",".","",".","29.5","",".",".","",".","3.6","",".",".",".","."
