"TERM : 1134","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2012-2013","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"OTM
238","Dept. Total","804","3.389","33.3","29.7","24.1","6.7","3.7","1.2","0.1","0.5","",".",".","",".","0.1","0.2","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","1.000",".",".",".",".",".","100.0",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","64","3.000","14.1","28.1","25.0","12.5","15.6","3.1",".",".","",".",".","",".",".","1.6",".",".","."
"Junior","","176","3.134","17.6","28.4","29.0","17.6","4.0","2.8",".",".","",".",".","",".",".","0.6",".",".","."
"Senior","","144","3.342","38.2","18.8","25.7","7.6","8.3","0.7",".","0.7","",".",".","",".",".",".",".",".","."
"Undergraduates","","385","3.184","24.7","24.7","27.0","13.0","7.5","2.3",".","0.3","",".",".","",".",".","0.5",".",".","."
"Special","","11","2.600","9.1","27.3","18.2","9.1","9.1","9.1","9.1",".","",".",".","",".",".",".","9.1",".","."
"Graduate","","405","3.599","42.2","34.3","21.7","0.7",".",".",".","0.7","",".",".","",".","0.2",".",".",".","."
"Prof Yr 2","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","3","3.667","33.3","66.7",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","804","3.389","33.3","29.7","24.1","6.7","3.7","1.2","0.1","0.5","",".",".","",".","0.1","0.2","0.1",".","."
