"","890
037","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","890
038","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Pre-Dissertator Research","Course Total","11","",".",".",".",".",".",".",".","81.8",".",".","",".","18.2","",".",".",".","."
"Research and Thesis","990
076","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"E M A
346","Dept. Total","1034","3.489","32.6","22.9","17.5","3.3","1.5","0.7","0.1","17.0","4.2",".","",".","0.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","3.333","22.2","11.1","22.2","11.1",".",".",".","22.2","11.1",".","",".",".","",".",".",".","."
"Sophomore","","257","3.430","26.5","21.4","16.0","4.3","2.7","0.8",".","20.2","8.2",".","",".",".","",".",".",".","."
"Junior","","376","3.465","26.1","26.9","22.9","2.9",".",".",".","16.2","5.1",".","",".",".","",".",".",".","."
"Senior","","306","3.485","39.5","20.9","16.0","2.6","2.3","1.6","0.3","16.0","0.7",".","",".",".","",".",".",".","."
"Undergraduates","","948","3.461","30.5","23.3","18.8","3.3","1.5","0.7","0.1","17.3","4.5",".","",".",".","",".",".",".","."
"Special","","6","3.100","16.7","16.7","16.7","33.3",".",".",".","16.7",".",".","",".",".","",".",".",".","."
"Graduate","","80","3.803","58.8","18.8","2.5","1.3","1.3",".",".","13.8",".",".","",".","3.8","",".",".",".","."
"","Dept. Total","1034","3.489","32.6","22.9","17.5","3.3","1.5","0.7","0.1","17.0","4.2",".","",".","0.3","",".",".",".","."
