"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","3114","1.021","","0.3","",".","0.3","",".","0.4","0.1","",".","95.1","0.1",".","",".","",".","0.1",".",".","2.1"
"Summary by College/School","","#","Ave","A","","AB","","B","BC","","C","D","F","","S/SD","U/UD","CR","N","","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"Special","","20","","",".","",".",".","",".",".",".","",".","100.0",".",".","",".","",".",".",".",".","."
"Graduate","","8","","",".","",".",".","",".",".",".","",".","87.5","12.5",".","",".","",".",".",".",".","."
"Prof Yr 1","","889","0.677","",".","",".","0.2","",".",".","0.1","",".","98.9","0.1",".","",".","",".",".",".",".","."
"Prof Yr 2","","1331","1.073","","0.5","",".","0.3","",".","0.7","0.1","",".","93.4","0.1",".","",".","",".",".",".",".","2.8"
"Prof Yr 3","","657","1.174","","0.5","",".","0.5","",".","0.5",".","",".","92.5",".",".","",".","",".",".",".",".","4.1"
"Prof Yr 4","","209","0.000","",".","",".",".","",".",".",".","",".","98.1","0.5",".","",".","",".","1.0",".",".","."
"Professionals","","3086","1.021","","0.3","",".","0.3","",".","0.4","0.1","",".","95.1","0.1",".","",".","",".","0.1",".",".","2.1"
"","College Total","3114","1.021","","0.3","",".","0.3","",".","0.4","0.1","",".","95.1","0.1",".","",".","",".","0.1",".",".","2.1"
