"Capstone Consulting Practicum","790
010","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Rdg & Rsch-Business Rsch","799
003","3","***","","","","","","","","","",".",".",".","",".",".",".","."
"Beginning a Research Career","933
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"GEN BUS
231","Dept. Total","5928","3.386","37.3","19.0","12.0","6.6","2.3","0.7","0.2","0.3","0.0","21.1","0.2","",".","0.1","0.0","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","829","3.810","53.0","5.8","2.9","0.8","1.3","0.4","0.4",".",".","34.7","0.6","",".",".",".",".","."
"Sophomore","","1424","3.245","35.7","8.8","9.8","7.7","3.2","0.7","0.3",".",".","33.6","0.1","",".","0.1",".",".","."
"Junior","","1353","3.262","29.0","18.4","14.4","9.3","3.3","1.3","0.1","0.1",".","23.4","0.3","",".","0.3",".",".","."
"Senior","","1323","3.324","25.8","28.7","19.8","10.2","2.5","1.1","0.2","0.1","0.1","11.3","0.2","",".","0.1",".",".","."
"Undergraduates","","4929","3.317","34.1","16.3","12.6","7.7","2.7","0.9","0.2","0.0","0.0","25.0","0.2","",".","0.1",".",".","."
"Special","","27","2.889","11.1","14.8","11.1","22.2","3.7",".","3.7","14.8",".","7.4",".","",".",".","7.4","3.7","."
"Graduate","","970","3.710","54.2","33.2","9.3","0.5","0.1",".",".","1.3",".","1.3",".","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","Dept. Total","5928","3.386","37.3","19.0","12.0","6.6","2.3","0.7","0.2","0.3","0.0","21.1","0.2","",".","0.1","0.0","0.0","."
