"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"126
001
Principles-Envrnmtl Science","22","3.409","54.5","9.1","22.7",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"138
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
003","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
005","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
006","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"138
007","21","3.833","85.7","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"138
008","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
CRC 1st Yr Smr: Lib Arts Educ","149","3.946","94.0","2.7","2.7",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"139
001
CRC Special Seminar","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"157
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
003","13","",".",".",".",".",".",".",".",".",".","84.6",".",".",".",".","15.4","."
"157
004","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
005","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
008","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
009","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"157
012","11","",".",".",".",".",".",".",".",".",".","90.9",".",".",".",".",".","."
"157
013","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
014","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","134","",".",".",".",".",".",".",".",".",".","97.8",".",".",".",".","1.5","."
"200
001
Critical Thinkng & Expressn","143","3.773","69.2","23.1","1.4","3.5","0.7",".","0.7",".",".",".",".",".","0.7","0.7",".","."
"201
001
W Culture:Sci,Tech,Philos I","142","3.604","57.0","19.0","14.8","3.5","2.1","0.7","0.7",".",".",".",".",".","1.4","0.7",".","."
"203
001
West Culture:Lit&The Arts I","212","3.723","71.2","14.6","9.0","1.9","1.4",".","1.4","0.5",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","54","3.642","81.5","5.6","1.9","1.9",".","1.9","5.6",".",".",".",".",".","1.9",".",".","."
"357
001
Peer Mentor Seminar","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"365
002
Machiavelli and His World","15","3.400","40.0","26.7","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"371
001","19","3.289","63.2","15.8",".",".","10.5",".","10.5",".",".",".",".",".",".",".",".","."
"371
002","54","3.537","61.1","16.7","11.1","5.6","1.9",".","3.7",".",".",".",".",".",".",".",".","."
"371
003","28","3.857","75.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Interdis in Arts & Humanities","101","3.579","65.3","17.8","6.9","3.0","3.0",".","4.0",".",".",".",".",".",".",".",".","."
