"Directed Research","990
124","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","991
124","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","991
133","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Reading","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"LAW
528","Dept. Total","871","1.029","6.9","",".","10.9","",".","0.9","",".","",".","37.4","0.1",".","",".","",".","",".",".",".","2.2"
"Summary by Level","","#","Ave","A","AB","","B","BC","","C","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","444","0.992","10.8","",".","17.6","",".","1.4","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","198","1.464","1.0","",".","2.5","",".","0.5","",".","",".","86.4","0.5",".","",".","",".","",".",".",".","4.5"
"Prof Yr 3","","207","1.455","4.3","",".","5.3","",".","0.5","",".","",".","70.0",".",".","",".","",".","",".",".",".","4.8"
"Prof Yr 4","","22","0.596","4.5","",".","4.5","",".",".","",".","",".","45.5",".",".","",".","",".","",".",".",".","."
"Professionals","","871","1.029","6.9","",".","10.9","",".","0.9","",".","",".","37.4","0.1",".","",".","",".","",".",".",".","2.2"
"","Dept. Total","871","1.029","6.9","",".","10.9","",".","0.9","",".","",".","37.4","0.1",".","",".","",".","",".",".",".","2.2"
