"","699
019","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
025","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
044","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"E P D
348","Dept. Total","750","3.649","57.3","25.2","10.8","3.6","1.3","",".","0.5","0.3","",".",".","",".","",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.380","36.2","34.5","17.2","6.9","3.4","",".","1.7",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","72","3.515","48.6","25.0","15.3","11.1",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","93","3.565","60.2","20.4","12.9","4.3","1.1","",".","1.1",".","",".",".","",".","",".",".",".",".","."
"Senior","","343","3.596","51.0","31.8","12.0","2.3","1.7","",".","0.6",".","",".",".","",".","",".","0.6",".",".","."
"Undergraduates","","566","3.565","50.7","29.3","13.1","4.2","1.6","",".","0.7",".","",".",".","",".","",".","0.4",".",".","."
"Special","","28","3.609","42.9","32.1",".","10.7",".","",".",".","7.1","",".",".","",".","",".","7.1",".",".","."
"Graduate","","155","3.893","83.9","9.0","4.5",".","0.6","",".",".",".","",".",".","",".","",".","1.9",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","750","3.649","57.3","25.2","10.8","3.6","1.3","",".","0.5","0.3","",".",".","",".","",".","0.9",".",".","."
