"1224
TERM:","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE","Section","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT
681","Dept. Total","","99","4.000","56.6","",".","",".","",".","",".","",".","",".","42.4","",".",".","",".","1.0","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","8","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","11","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","34","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","53","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","13","4.000","23.1","",".","",".","",".","",".","",".","",".","69.2","",".",".","",".","7.7","",".",".",".","."
"Prof Yr 3","","","7","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","","26","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","","33","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","99","4.000","56.6","",".","",".","",".","",".","",".","",".","42.4","",".",".","",".","1.0","",".",".",".","."
