"1224
TERM:","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","516","3.984","22.9","0.6","",".","",".","",".","",".","",".","75.4","",".",".","",".","0.2","",".",".","0.8","0.2"
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","9","4.000","77.8",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","22.2","."
"Junior","","21","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","77","4.000","98.7",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","1.3","."
"Undergraduates","","107","4.000","97.2",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","2.8","."
"Graduate","","48","3.719","6.3","6.3","",".","",".","",".","",".","",".","81.3","",".",".","",".","2.1","",".",".","2.1","2.1"
"Prof Yr 1","","11","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","","147","",".",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","202","",".",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","361","4.000","3.0",".","",".","",".","",".","",".","",".","97.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","516","3.984","22.9","0.6","",".","",".","",".","",".","",".","75.4","",".",".","",".","0.2","",".",".","0.8","0.2"
