"TERM : 1152","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2014-2015","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM
758","Dept. Total","247","4.000","12.6","",".","",".",".","",".","",".","",".","81.8","",".",".","",".","1.6","",".",".","1.2","2.8"
"Summary by Level","","#","Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","2","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","9","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","11","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","23","4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","48","4.000","14.6","",".","",".",".","",".","",".","",".","70.8","",".",".","",".","8.3","",".",".","6.3","."
"Prof Yr 1","","174","",".","",".","",".",".","",".","",".","",".","96.0","",".",".","",".",".","",".",".",".","4.0"
"Prof Yr 3","","2","4.000","50.0","",".","",".",".","",".","",".","",".","50.0","",".",".","",".",".","",".",".",".","."
"Professionals","","176","4.000","0.6","",".","",".",".","",".","",".","",".","95.5","",".",".","",".",".","",".",".",".","4.0"
"","Dept. Total","247","4.000","12.6","",".","",".",".","",".","",".","",".","81.8","",".",".","",".","1.6","",".",".","1.2","2.8"
