"TERM : 1152","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2014-2015","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIATRY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","138","3.502","25.4","11.6","18.1","1.4","",".","",".","",".","",".","",".",".","",".","",".","0.7",".","42.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","7","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","59","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","100.0","."
"Graduate","","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","100.0",".",".","."
"Prof Yr 2","","2","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","54","3.435","29.6","29.6","38.9","1.9","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","15","3.708","80.0",".","13.3","6.7","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","71","3.471","39.4","22.5","35.2","2.8","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","138","3.502","25.4","11.6","18.1","1.4","",".","",".","",".","",".","",".",".","",".","",".","0.7",".","42.8","."
