"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Indians of North America","314
001","73","3.150","27.4","23.3","19.2","16.4","5.5","1.4","2.7","4.1",".","",".",".","",".","",".","",".",".","."
"Survey-N Amer Indian Languages","371
001","15","3.750","53.3","33.3","6.7",".",".",".",".",".",".","",".",".","",".","",".","",".","6.7","."
"","450
006","24","3.979","95.8","4.2",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
009","32","3.403","53.1","15.6","9.4",".","15.6","3.1",".","3.1",".","",".",".","",".","",".","",".",".","."
"","450
015","36","3.458","55.6","13.9","19.4",".","8.3",".","2.8",".",".","",".",".","",".","",".","",".",".","."
"Issues in Amer Ind Studies","Course Total","92","3.577","65.2","12.0","10.9",".","8.7","1.1","1.1","1.1","",".",".","",".","",".","",".",".",".","."
"Ethnobotany","474
001","8","3.438","62.5","12.5","12.5",".",".","12.5",".",".",".","",".",".","",".","",".","",".",".","."
"Poverty and Place","578
001","6","2.750","33.3",".",".",".","16.7","16.7",".",".",".","",".",".","",".","",".","",".","33.3","."
"Directed Study","699
004","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"AMER IND
140","Dept. Total","195","3.410","49.2","17.4","13.3","6.2","6.7","2.1","1.5","2.1","",".",".","",".","",".","",".",".","1.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","2.833","33.3",".",".","33.3","33.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","57","3.289","45.6","14.0","14.0","15.8","7.0","1.8","1.8",".","",".",".","",".","",".","",".",".",".","."
"Junior","","57","3.348","45.6","22.8","14.0","3.5","7.0","1.8","3.5","1.8","",".",".","",".","",".","",".",".",".","."
"Senior","","67","3.545","56.7","19.4","14.9",".","6.0","3.0",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","184","3.393","49.5","18.5","14.1","6.5","7.1","2.2","1.6","0.5","",".",".","",".","",".","",".",".",".","."
"Special","","9","4.000","33.3",".",".",".",".",".",".","33.3","",".",".","",".","",".","",".",".","33.3","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","195","3.410","49.2","17.4","13.3","6.2","6.7","2.1","1.5","2.1","",".",".","",".","",".","",".",".","1.5","."
