"TERM : 1152","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2014-2015","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
944","Dept. Total","192","3.706","55.7","28.1","7.8","1.0","1.6","0.5","",".","3.6","",".",".","",".","1.0","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","3","3.833","66.7","33.3",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","9","3.453","44.4","33.3","11.1",".",".","11.1","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","20","3.679","55.0","25.0","10.0",".","5.0",".","",".","5.0","",".",".","",".",".",".",".",".","."
"Undergraduates","","33","3.638","54.5","27.3","9.1",".","3.0","3.0","",".","3.0","",".",".","",".",".",".",".",".","."
"Special","","4","3.346","25.0","25.0","50.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","148","3.729","56.1","28.4","6.8","1.4","1.4",".","",".","4.1","",".",".","",".","1.4","0.7",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","6","3.833","66.7","33.3",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","7","3.857","71.4","28.6",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","192","3.706","55.7","28.1","7.8","1.0","1.6","0.5","",".","3.6","",".",".","",".","1.0","0.5",".",".","."
