"TERM : 1152","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2014-2015","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","162","3.568","34.6","16.7","13.6","4.9","0.6","",".","",".","24.7","",".",".","",".","0.6","",".",".","4.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","15","3.469","46.7","13.3","26.7","13.3",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","46","3.363","30.4","28.3","28.3","10.9","2.2","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","66","3.439","37.9","24.2","25.8","10.6","1.5","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","7","3.563","57.1","14.3","14.3","14.3",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","86","3.782","30.2","11.6","4.7",".",".","",".","",".","44.2","",".",".","",".","1.2","",".",".","8.1","."
"Prof Yr 3","","3","4.000","33.3",".",".",".",".","",".","",".","66.7","",".",".","",".",".","",".",".",".","."
"Professionals","","3","4.000","33.3",".",".",".",".","",".","",".","66.7","",".",".","",".",".","",".",".",".","."
"","Dept. Total","162","3.568","34.6","16.7","13.6","4.9","0.6","",".","",".","24.7","",".",".","",".","0.6","",".",".","4.3","."
