"TERM : 1132","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2012-2013","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V
623","Dept. Total","591","3.524","36.2","5.6","12.4","0.7","1.0","0.2","",".","41.6","",".",".","",".","",".","",".",".","2.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","4","3.875","75.0","25.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","42","4.000","73.8",".",".",".",".",".","",".","26.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","15","4.000","20.0",".",".",".",".",".","",".","80.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","284","3.389","20.4","11.3","25.7","1.4","2.1",".","",".","39.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","330","3.974","36.1",".",".",".",".","0.3","",".","59.4","",".",".","",".","",".","",".",".","4.2","."
"Professionals","","671","3.521","31.4","4.8","10.9","0.6","0.9","0.1","",".","49.2","",".",".","",".","",".","",".",".","2.1","."
"","Dept. Total","675","3.524","31.7","4.9","10.8","0.6","0.9","0.1","",".","48.9","",".",".","",".","",".","",".",".","2.1","."
