"TERM : 1102","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2009-2010","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","",""
"MED PHYS
621","Dept. Total","271","3.610","34.7","26.2","11.4",".","0.7","",".","",".","18.1","",".",".","",".","8.1","",".",".","0.4","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","18","3.098","11.1","33.3","44.4",".","11.1","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","20","3.186","20.0","30.0","40.0",".","10.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","5","3.750","20.0","20.0",".",".",".","",".","",".","20.0","",".",".","",".","20.0","",".",".","20.0","."
"Graduate","","239","3.655","36.0","25.5","9.6",".",".","",".","",".","19.7","",".",".","",".","8.8","",".",".",".","0.4"
"Prof Yr 3","","7","3.719","42.9","42.9",".",".",".","",".","",".","14.3","",".",".","",".",".","",".",".",".","."
"Professionals","","7","3.719","42.9","42.9",".",".",".","",".","",".","14.3","",".",".","",".",".","",".",".",".","."
"","Dept. Total","271","3.610","34.7","26.2","11.4",".","0.7","",".","",".","18.1","",".",".","",".","8.1","",".",".","0.4","0.4"
