"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","2.500",".",".",".","100.0",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","3","3.409","33.3","33.3",".","33.3",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Junior","12","3.391","41.7","25.0","8.3","8.3","16.7","",".",".",".",".",".","",".","",".","",".",".",".","."
"Senior","45","3.474","35.6","35.6","22.2",".","2.2","",".","2.2","2.2",".",".","",".","",".","",".",".",".","."
"Undergraduates","61","3.434","36.1","32.8","18.0","4.9","4.9","",".","1.6","1.6",".",".","",".","",".","",".",".",".","."
"Special","4","3.500","25.0","50.0","25.0",".",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","146","3.658","47.9","32.9","15.8","0.7",".","",".",".","2.1","0.7",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","2","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","3","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".","",".","",".",".",".","."
