"TERM : 1024","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2001-2002","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","","",""
"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","","","",""
"RUR SOC
864","Dept. Total","","95","3.303","46.3","16.8","12.6","5.3","5.3","",".","4.2","7.4","",".",".","",".","1.1","",".","1.1",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","","12","2.884",".","33.3","25.0","25.0","16.7","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","15","3.153","26.7","33.3","20.0","6.7","6.7","",".","6.7",".","",".",".","",".",".","",".",".",".","."
"Senior","","","30","3.223","43.3","16.7","20.0","3.3","3.3","",".","10.0",".","",".",".","",".",".","",".","3.3",".","."
"Undergraduates","","","58","3.140","31.0","24.1","20.7","8.6","6.9","",".","6.9",".","",".",".","",".",".","",".","1.7",".","."
"Special","","","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Graduate","","","36","3.817","72.2","5.6",".",".","2.8","",".",".","16.7","",".",".","",".","2.8","",".",".",".","."
"","Dept. Total","","95","3.303","46.3","16.8","12.6","5.3","5.3","",".","4.2","7.4","",".",".","",".","1.1","",".","1.1",".","."
