"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"990","174","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","175","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","176","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","178","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","180","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","182","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","185","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","186","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","200","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","74","",".",".",".",".",".",".",".","74.3",".",".",".","24.3",".",".","1.4","."
