"HUMAN ONCOLOGY","Section","#","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699","022","3","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","036","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","150","2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","156","2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","157","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","158","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","10","4.000","80.0","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".","20.0","."
"910","041","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"910","046","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"990
Rsch in Human Cancer Bio","022","2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","14","4.000","71.4","",".","",".",".","",".","",".","",".","",".","",".",".",".","14.3",".",".","14.3","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","50.0","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".","50.0","."
"Junior","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Senior","","5","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Undergraduates","","9","4.000","88.9","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".","11.1","."
"Special","","1","",".","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".","100.0","."
"Graduate","","2","",".","",".","",".",".","",".","",".","",".","",".","",".",".",".","100.0",".",".",".","."
"Prof Yr 4","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Professionals","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"","Dept. Total","14","4.000","71.4","",".","",".",".","",".","",".","",".","",".","",".",".",".","14.3",".",".","14.3","."
