"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Computers in Business","320
001","55","3.296","23.6","29.1","30.9","10.9","3.6",".","",".","","1.8",".","",".",".","",".","",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","31","3.919","83.9","16.1",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","35","3.457","28.6","45.7","14.3","11.4",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"","700
001","35","3.632","54.3","17.1","22.9","2.9",".",".","",".","",".",".","",".",".","",".","","2.9",".",".","."
"","700
002","36","3.792","69.4","19.4","11.1",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Info Technol for Management","Course Total","71","3.714","62.0","18.3","16.9","1.4",".","",".","",".",".","",".",".","",".","",".","1.4",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","15","3.833","66.7","33.3",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Seminar-Data Processing","872
001","20","3.875","75.0","25.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"INFO SYS
234","Dept. Total","227","3.614","52.0","26.4","15.0","4.8","0.9","",".","",".","0.4","",".",".","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","2.875",".","50.0",".","25.0","25.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","27","3.500","37.0","33.3","22.2","7.4",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","75","3.466","36.0","32.0","20.0","9.3","1.3","",".","",".","1.3","",".",".","",".","",".",".",".",".","."
"Undergraduates","","106","3.452","34.9","33.0","19.8","9.4","1.9","",".","",".","0.9","",".",".","",".","",".",".",".",".","."
"Special","","2","3.400","50.0",".","50.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","115","3.816","69.6","20.9","7.8","0.9",".","",".","",".",".","",".",".","",".","",".","0.9",".",".","."
"Prof Yr 3","","4","3.125",".","25.0","75.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","4","3.125",".","25.0","75.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","227","3.614","52.0","26.4","15.0","4.8","0.9","",".","",".","0.4","",".",".","",".","",".","0.4",".",".","."
