"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"CAVE","","","","","","","","","","","","","","","","","","","",""
"CAVE","College Total","268","3.800","60.1","15.7","6.7","1.1","0.7","0.4","",".","7.1","0.7",".",".","5.2","1.5",".","0.7","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"CAVE","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Sophomore","","4","3.875","75.0","25.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","27","3.779","63.0","22.2","14.8",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","85","3.683","61.2","21.2","8.2","3.5","2.4","1.2","",".","1.2",".",".",".",".","1.2",".",".","."
"Undergraduates","","116","3.711","62.1","21.6","9.5","2.6","1.7","0.9","",".","0.9",".",".",".",".","0.9",".",".","."
"Special","","16","3.643","37.5","31.3","12.5",".",".",".","",".",".",".",".",".",".","6.3",".","12.5","."
"Graduate","","136","3.895","61.0","8.8","3.7",".",".",".","",".","13.2","1.5",".",".","10.3","1.5",".",".","."
"","College Total","268","3.800","60.1","15.7","6.7","1.1","0.7","0.4","",".","7.1","0.7",".",".","5.2","1.5",".","0.7","."
