"TERM : 1114","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2010-2011","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCI
Dept. Total
682","362","3.724","51.7","7.5","8.0","0.3","1.7","0.3","",".","28.5","",".",".","",".","1.4","0.3",".","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","11","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","41","3.905","85.4","7.3","4.9",".",".",".","",".",".","",".",".","",".",".","2.4",".",".","."
"Senior","140","3.682","75.7","9.3","10.0",".","4.3","0.7","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","192","3.752","79.2","8.3","8.3",".","3.1","0.5","",".",".","",".",".","",".",".","0.5",".",".","."
"Special","6","3.556","50.0",".","16.7",".",".",".","",".","16.7","",".",".","",".",".",".",".","16.7","."
"Graduate","150","3.644","20.0","7.3","4.0","0.7",".",".","",".","64.0","",".",".","",".","3.3",".",".","0.7","."
"Prof Yr 1","2","3.000",".",".","50.0",".",".",".","",".","50.0","",".",".","",".",".",".",".",".","."
"Prof Yr 2","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","4","3.000",".",".","50.0",".",".",".","",".","50.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","6","3.000",".",".","50.0",".",".",".","",".","50.0","",".",".","",".",".",".",".",".","."
"Professionals","14","3.455","14.3",".","42.9",".",".",".","",".","42.9","",".",".","",".",".",".",".",".","."
"Dept. Total","362","3.724","51.7","7.5","8.0","0.3","1.7","0.3","",".","28.5","",".",".","",".","1.4","0.3",".","0.6","."
