"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Biblical Lit","361
001","57","2.286","14.0","12.3","8.8","19.3","17.5","15.8","10.5","1.8",".","",".",".","",".","",".","",".",".","."
"Introduction to Buddhism","364
001","41","2.738","9.8","22.0","19.5","14.6","24.4","7.3",".","2.4",".","",".",".","",".","",".","",".",".","."
"Islam: Religion and Culture","370
001","13","3.154","15.4","23.1","46.2","7.7","7.7",".",".",".",".","",".",".","",".","",".","",".",".","."
"Religions of India","416
001","12","3.091","16.7","41.7","16.7","8.3",".",".","8.3",".",".","",".",".","",".","",".","","8.3",".","."
"Religion and Politics","465
001","15","2.780","13.3","26.7","13.3","26.7","13.3",".","6.7",".",".","",".",".","",".","",".","",".",".","."
"Ritual and Ritual Theory","479
001","15","3.714","40.0","53.3",".",".",".",".",".",".",".","",".",".","",".","",".","","6.7",".","."
"RELIG ST
856","Dept. Total","153","2.739","15.7","23.5","15.0","15.0","15.0","7.8","5.2","1.3","",".",".","",".","",".","",".","1.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","1.667","33.3",".",".",".",".","33.3","33.3",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","33","2.446","12.1","12.1","18.2","18.2","21.2","9.1","9.1",".","",".",".","",".","",".","",".",".",".","."
"Junior","","55","2.610","12.7","23.6","12.7","16.4","18.2","7.3","7.3",".","",".",".","",".","",".","",".","1.8",".","."
"Senior","","53","2.929","11.3","30.2","18.9","15.1","11.3","7.5",".","3.8","",".",".","",".","",".","",".","1.9",".","."
"Undergraduates","","144","2.670","12.5","22.9","16.0","16.0","16.0","8.3","5.6","1.4","",".",".","",".","",".","",".","1.4",".","."
"Special","","4","3.654","25.0","75.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","153","2.739","15.7","23.5","15.0","15.0","15.0","7.8","5.2","1.3","",".",".","",".","",".","",".","1.3",".","."
