"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
004","17","",".",".",".",".",".",".",".",".",".","88.2","11.8",".",".",".",".","."
"198
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
010","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
014","17","",".",".",".",".",".",".",".",".",".","82.4","17.6",".",".",".",".","."
"198
039","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
040","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
041","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
042","18","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"198
050","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
052","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"198
054","22","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"Course Total
Directed Study","184","",".",".",".",".",".",".",".",".",".","94.0","6.0",".",".",".",".","."
"199
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"199
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","3","***","","","","","","","","","","","","","","","",""
"200
001
Critical Thinkng & Expressn","247","3.227","15.4","34.4","37.2","10.9","0.8",".","1.2",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","267","3.102","20.2","21.7","28.8","18.7","9.4",".","0.7",".",".",".",".",".",".",".",".","0.4"
"202
001
W Culture:Sci,Tech,Phil II","86","3.047","12.8","24.4","37.2","17.4","5.8","1.2","1.2",".",".",".",".",".",".",".",".","."
"203
001
West Culture:Lit&The Arts I","179","3.124","27.9","24.0","19.6","16.2","6.7","2.2","2.8","0.6",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","116","3.070","11.2","22.4","44.0","13.8","6.0",".","0.9","0.9",".",".",".",".",".","0.9",".","."
"207
001
History of Westrn Culture I","75","3.487","38.7","28.0","28.0","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"208
001
Hist of Western Culture II","47","2.957","10.6","25.5","27.7","29.8","2.1","2.1","2.1",".",".",".",".",".",".",".",".","."
"209
001
Intro to Global Cultures","171","3.447","32.7","32.2","29.2","4.7","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"252
001
Contemporary Life Sciences","194","2.820","17.5","2.1","42.8","10.8","21.6","3.1","1.0","1.0",".",".",".",".",".",".",".","."
"255
001
Contmp Soc Sci:Anal-Soc Iss","26","3.885","84.6","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"256
001
Contemp Soc Sci II-Thy&Meth","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"275
001
Special Topics in ILS","10","3.500","50.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"ILS
Dept. Total
500","1612","3.161","20.2","20.5","28.2","11.5","6.0","0.8","1.0","0.2",".","10.7","0.7",".",".","0.1",".","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","822","3.144","15.5","20.2","26.3","11.6","4.1","0.7","1.0",".",".","19.2","1.3",".",".","0.1",".","."
"Sophomore","379","3.144","19.0","25.9","30.1","13.7","6.9","0.5","1.1",".",".","2.9",".",".",".",".",".","."
"Junior","236","3.198","30.5","17.4","30.5","11.0","7.6","1.3","1.3",".",".","0.4",".",".",".",".",".","."
"Senior","172","3.216","31.4","14.5","30.2","7.0","10.5","1.2","0.6","2.3",".","1.7",".",".",".",".",".","0.6"
"Undergraduates","1609","3.161","20.2","20.5","28.2","11.5","6.0","0.8","1.0","0.2",".","10.8","0.7",".",".","0.1",".","0.1"
"Special","3","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Dept. Total","1612","3.161","20.2","20.5","28.2","11.5","6.0","0.8","1.0","0.2",".","10.7","0.7",".",".","0.1",".","0.1"
