"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Computers in Business","320
001","53","3.283","18.9","35.8","37.7","5.7","",".",".","","1.9",".",".","",".",".","",".","",".","",".",".","."
"Tech:Computer-Based Bus Sys","371
002","34","3.682","47.1","38.2","11.8",".","",".",".","",".","2.9",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","8","3.500","37.5","25.0","37.5",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"","720
001","34","3.618","50.0","23.5","26.5",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"","002
720","28","3.571","39.3","35.7","25.0",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Decision&Informatn Systems","Course Total","62","3.597","45.2","29.0","25.8",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","001
724","15","3.633","53.3","20.0","26.7",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","172","3.515","37.8","32.0","27.3","1.7","",".","",".","0.6","0.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.250",".","50.0","50.0",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","20","3.500","25.0","50.0","25.0",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","61","3.433","36.1","27.9","27.9","4.9","",".","",".","1.6","1.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","83","3.445","32.5","33.7","27.7","3.6","",".","",".","1.2","1.2","",".",".","",".","",".","",".",".",".","."
"Special","","1","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","86","3.576","43.0","29.1","27.9",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","3.750","50.0","50.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","172","3.515","37.8","32.0","27.3","1.7","",".","",".","0.6","0.6","",".",".","",".","",".","",".",".",".","."
