"Thesis Research","Course Total","10","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"","999
017","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
035","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Independent Research","Course Total","4","***","","","","","","","","","","","","","","","","","",""
"E ASIAN
295","Dept. Total","1105","3.543","48.9","24.4","14.1","5.6","2.3","0.6","0.9","2.2","",".","0.5",".","",".","0.2","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","145","3.402","38.6","30.3","13.1","10.3","4.1","1.4","0.7","0.7","",".",".",".","",".",".","0.7",".","."
"Sophomore","","261","3.573","50.2","26.4","14.9","4.6","2.3","0.4","0.4","0.8","",".",".",".","",".",".",".",".","."
"Junior","","231","3.585","49.4","24.2","17.7","3.9","1.7","0.9","0.4","0.4","",".","0.9",".","",".",".",".",".","0.4"
"Senior","","319","3.500","45.5","23.2","16.3","7.2","2.5","0.6","1.3","2.5","",".","0.6",".","",".",".","0.3",".","."
"Undergraduates","","956","3.524","46.7","25.4","15.8","6.2","2.5","0.7","0.7","1.3","",".","0.4",".","",".",".","0.2",".","0.1"
"Special","","29","3.434","65.5","17.2",".","6.9",".",".","6.9",".","",".",".",".","",".",".",".","3.4","."
"Graduate","","118","3.800","62.7","17.8","4.2","0.8","0.8",".","0.8","10.2","",".","0.8",".","",".","1.7",".",".","."
"Prof Yr 2","","2","3.667","50.0","50.0",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","2","3.667","50.0","50.0",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","Dept. Total","1105","3.543","48.9","24.4","14.1","5.6","2.3","0.6","0.9","2.2","",".","0.5",".","",".","0.2","0.2","0.1","0.1"
