"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","3560","1.267","7.5","0.0","20.8","",".","2.6","0.3","0.1","22.1","",".",".","",".","",".","0.4",".",".","0.8"
"Summary by College/School","","#","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Special","","7","",".",".",".","",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","","6","3.850","50.0","16.7",".","",".",".",".",".","33.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","962","1.245","6.4",".","31.5","",".","2.0","0.4","0.2","0.6","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1138","1.253","5.7",".","19.1","",".","3.3","0.1",".","29.3","",".",".","",".","",".","0.1",".",".","1.8"
"Prof Yr 3","","1395","1.293","9.2",".","15.3","",".","2.4","0.4",".","30.7","",".",".","",".","",".","0.8",".",".","0.6"
"Prof Yr 4","","52","1.381","13.5",".","15.4","",".","9.6",".","3.8","17.3","",".",".","",".","",".","3.8",".",".","."
"Professionals","","3547","1.264","7.4",".","20.9","",".","2.7","0.3","0.1","21.9","",".",".","",".","",".","0.4",".",".","0.8"
"","College Total","3560","1.267","7.5","0.0","20.8","",".","2.6","0.3","0.1","22.1","",".",".","",".","",".","0.4",".",".","0.8"
