"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
003","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
004","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
005","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
010","18","",".",".",".",".",".",".",".",".",".","94.4",".",".",".",".",".","5.6"
"198
014","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
030","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
031","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
039","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
040","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
042","18","",".",".",".",".",".",".",".",".",".","94.4",".",".",".","5.6",".","."
"198
054","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","193","",".",".",".",".",".",".",".",".",".","99.0",".",".",".","0.5",".","0.5"
"199
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","2","***","","","","","","","","","","","","","","","",""
"200
001
Critical Thinkng & Expressn","108","3.425","25.0","50.0","16.7","3.7","0.9",".","1.9",".",".",".",".",".",".",".",".","1.9"
"201
001
W Culture:Sci,Tech,Philos I","225","3.138","21.8","27.1","24.9","14.7","10.2",".","1.3",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","70","3.254","40.0","15.7","25.7","8.6","2.9","1.4","4.3",".",".",".",".",".",".","1.4",".","."
"203
001
West Culture:Lit&The Arts I","213","3.315","28.6","30.0","25.4","8.9","4.7","0.9","0.5","0.5",".",".",".",".",".",".","0.5","."
"205
001
W Cult:Pol,Econ&Soc Thght I","308","3.116","14.9","20.8","46.1","11.4","4.2","1.0","0.6","0.3",".",".",".",".",".",".",".","0.6"
"206
001
W Cul:Pol,Econ&Soc Thght II","16","3.656","62.5","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"207
001
History of Westrn Culture I","65","3.742","58.5","29.2","10.8",".",".",".",".",".",".",".",".",".",".",".","1.5","."
"209
001
Intro to Global Cultures","144","3.406","30.6","39.6","16.0","10.4","1.4","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"236
001","10","3.600","70.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"236
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Bascom Course","19","3.737","73.7","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"252
001
Contemporary Life Sciences","252","2.978","23.4","8.3","38.5","6.3","18.3","2.4","1.2","0.8",".",".",".",".",".","0.4","0.4","."
"400
001
Senior Seminar","16","3.594","50.0","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"ILS
Dept. Total
500","1631","3.232","23.6","22.0","26.1","7.9","6.0","0.8","0.9","0.3",".","11.7",".",".",".","0.2","0.2","0.3"
