"","331
001","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","331
002","","5","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Mil Leadership & Mgt Theory","Course Total","","13","3.385","38.5","15.4","30.8","15.4",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Mil Comm Skills&Admin Oper","441
001","","8","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"MIL SCI
644","Dept. Total","","92","3.282","39.1","18.5","23.9","9.8","5.4","2.2","1.1","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","34","2.870","20.6","11.8","44.1","8.8","8.8","5.9",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","32","3.310","43.8","25.0","9.4","12.5","6.3",".","3.1","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","13","3.440","38.5","23.1","30.8","7.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","13","3.808","76.9","15.4",".","7.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","92","3.282","39.1","18.5","23.9","9.8","5.4","2.2","1.1","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","92","3.282","39.1","18.5","23.9","9.8","5.4","2.2","1.1","",".","",".",".","",".","",".","",".",".",".","."
