"TERM : 1042","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2003-2004","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","252","3.672","32.9","9.1","10.3","1.2","0.8","",".","",".","45.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","19","3.595","47.4","21.1","21.1","5.3",".","",".","",".","5.3","",".",".","",".","",".","",".",".",".","."
"Senior","","41","3.398","41.5","14.6","34.1","2.4","4.9","",".","",".","2.4","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","61","3.472","44.3","16.4","29.5","3.3","3.3","",".","",".","3.3","",".",".","",".","",".","",".",".",".","."
"Special","","4","3.591","25.0","75.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","181","3.824","29.3","5.5","3.3","0.6",".","",".","",".","61.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","5","3.625","40.0",".","20.0",".",".","",".","",".","40.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","6","3.500","33.3",".","33.3",".",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","252","3.672","32.9","9.1","10.3","1.2","0.8","",".","",".","45.6","",".",".","",".","",".","",".",".",".","."
