"MILITARY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"","101
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Officership","Course Total","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 1A","110
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individual Leadership Studies","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 2A","210
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Problem Solving","301
001","","24","3.957","87.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"Leadership Lab 3A","310
001","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"","401
001","","15","3.667","66.7","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","401
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","18","3.694","66.7","27.8",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 4A","410
001","","17","3.824","94.1",".",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"MIL SCI
644","Dept. Total","","159","3.921","91.2","5.7","0.6",".",".","1.3",".",".",".",".",".",".",".",".",".","1.3"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","23","3.985","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","33","3.965","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","46","3.969","91.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"Senior","","","53","3.825","86.8","9.4",".",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","155","3.919","91.0","5.8","0.6",".",".","1.3",".",".",".",".",".",".",".",".",".","1.3"
"Special","","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","","159","3.921","91.2","5.7","0.6",".",".","1.3",".",".",".",".",".",".",".",".",".","1.3"
