"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"CAVE","","","","","","","","","","","","","","","","","","",""
"CAVE","College Total","211","3.569","43.1","16.1","12.3","3.8","2.4","1.4","0.5","11.4","0.5",".",".","5.2","1.4",".","0.9","0.9"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"CAVE","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","15","2.927","33.3","26.7","13.3",".","6.7","13.3","6.7",".",".",".",".",".",".",".",".","."
"Junior","","27","3.100","22.2","11.1","40.7","14.8","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"Senior","","51","3.598","49.0","23.5","11.8","7.8","3.9",".",".",".",".",".",".",".","2.0",".","2.0","."
"Undergraduates","","94","3.358","38.3","20.2","21.3","8.5","5.3","3.2","1.1",".",".",".",".",".","1.1",".","1.1","."
"Special","","22","3.830","59.1","18.2","4.5",".",".",".",".",".",".",".",".",".","4.5",".","4.5","9.1"
"Graduate","","95","3.852","44.2","11.6","5.3",".",".",".",".","25.3","1.1",".",".","11.6","1.1",".",".","."
"","College Total","211","3.569","43.1","16.1","12.3","3.8","2.4","1.4","0.5","11.4","0.5",".",".","5.2","1.4",".","0.9","0.9"
