"TERM : 1124","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2011-2012","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","186","3.876","45.7","5.9","2.7",".","",".","",".","",".","38.7","",".",".","",".","1.6","",".",".","5.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","8","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","19","3.919","84.2","15.8",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","31","3.955","90.3","9.7",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","6","3.889","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","143","3.823","34.3","4.9","3.5",".","",".","",".","",".","50.3","",".",".","",".","2.1","",".",".","4.9","."
"Prof Yr 3","","2","4.000","50.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","50.0","."
"Prof Yr 4","","4","4.000","50.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","50.0","."
"Professionals","","6","4.000","50.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","50.0","."
"","Dept. Total","186","3.876","45.7","5.9","2.7",".","",".","",".","",".","38.7","",".",".","",".","1.6","",".",".","5.4","."
