"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"CAVE","","","","","","","","","","","","","","","","","","","","",""
"CAVE","College Total","349","3.725","60.2","19.2","8.0","1.4","0.3","",".","0.6","3.2","0.9",".",".","5.4","",".","0.6","0.3","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","","NW","NR","Other"
"CAVE","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","0.000",".",".",".",".",".","",".","100.0",".",".",".",".",".","",".",".",".","."
"Sophomore","","11","3.483","45.5","27.3","18.2","9.1",".","",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","34","3.575","58.8","23.5","14.7","2.9",".","",".",".",".",".",".",".",".","",".",".",".","."
"Senior","","128","3.675","63.3","19.5","12.5","1.6","0.8","",".","0.8",".","0.8",".",".",".","",".","0.8",".","."
"Undergraduates","","174","3.622","60.9","20.7","13.2","2.3","0.6","",".","1.1",".","0.6",".",".",".","",".","0.6",".","."
"Special","","29","3.851","75.9","3.4","3.4","3.4",".","",".",".","6.9",".",".",".",".","",".","3.4","3.4","."
"Graduate","","146","3.825","56.2","20.5","2.7",".",".","",".",".","6.2","1.4",".",".","13.0","",".",".",".","."
"","College Total","349","3.725","60.2","19.2","8.0","1.4","0.3","",".","0.6","3.2","0.9",".",".","5.4","",".","0.6","0.3","."
