"TERM : 0974","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1996-97","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL MICROBIOL & IMMUN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","","",""
"M M & I
620","Dept. Total","461","3.174","36.2","12.8","20.8","10.8","9.5","1.7","1.1","6.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","1.000",".",".",".",".",".","100.0",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","39","3.378","51.3","10.3","20.5","10.3","5.1","2.6",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","122","3.138","32.0","18.0","24.6","13.1","9.8",".","2.5",".","",".",".","",".","",".","",".",".",".","."
"Senior","","206","3.041","33.5","12.6","21.8","13.1","14.6","2.9","0.5","1.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","368","3.094","34.8","14.1","22.6","12.8","12.0","2.2","1.1","0.5","",".",".","",".","",".","",".",".",".","."
"Special","","16","3.487","62.5",".","25.0","12.5",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","73","3.596","37.0","9.6","12.3","1.4",".",".","1.4","38.4","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","4","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","4","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","461","3.174","36.2","12.8","20.8","10.8","9.5","1.7","1.1","6.9","",".",".","",".","",".","",".",".",".","."
