"TERM : 1064","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2005-2006","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","","",""
"FINANCE
Dept. Total
233","1025","3.308","29.5","22.2","33.5","9.4","3.7","0.4","0.3","0.8","",".",".","",".","",".","",".","0.2","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","241","3.344","29.0","23.7","37.8","7.9","1.2",".","0.4",".","",".",".","",".","",".","",".",".",".","."
"Senior","499","3.168","23.2","18.4","36.3","12.8","6.6","0.8","0.4","0.8","",".",".","",".","",".","",".","0.4","0.2","."
"Undergraduates","741","3.226","25.1","20.1","36.8","11.2","4.9","0.5","0.4","0.5","",".",".","",".","",".","",".","0.3","0.1","."
"Special","12","3.042","25.0","8.3","25.0","33.3","8.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","264","3.529","41.3","28.4","25.0","3.4","0.4",".",".","1.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","4","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","4","3.500","25.0","50.0","25.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","8","3.688","50.0","37.5","12.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","1025","3.308","29.5","22.2","33.5","9.4","3.7","0.4","0.3","0.8","",".",".","",".","",".","",".","0.2","0.1","."
