"TERM : 1062","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2005-2006","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","253","3.518","22.9","6.3","20.6","0.8","",".","",".","",".","48.6","",".",".","",".","",".","",".",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","12","3.360","25.0","25.0","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","50","3.454","40.0","10.0","42.0","2.0","",".","",".","",".","4.0","",".",".","",".","",".","",".",".","2.0","."
"Undergraduates","","64","3.453","39.1","12.5","42.2","1.6","",".","",".","",".","3.1","",".",".","",".","",".","",".",".","1.6","."
"Special","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","184","3.560","16.8","4.3","13.0","0.5","",".","",".","",".","64.7","",".",".","",".","",".","",".",".","0.5","."
"Prof Yr 3","","3","4.000","33.3",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".","",".",".",".","."
"Professionals","","3","4.000","33.3",".",".",".","",".","",".","",".","66.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","253","3.518","22.9","6.3","20.6","0.8","",".","",".","",".","48.6","",".",".","",".","",".","",".",".","0.8","."
