"NUR","","","","","","","","","","","","","","","","","","",""
"NUR","College Total","1366","3.785","58.6","19.2","5.6","1.3","0.3","0.1","0.1","4.5",".","8.2",".","0.9","1.3",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"NUR","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","43","3.888","81.4","14.0","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","65","3.825","78.5","15.4","1.5","4.6",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","218","3.697","44.0","21.1","6.9","2.3","0.9",".",".",".",".","24.8",".",".",".",".",".","."
"Senior","","706","3.777","57.5","20.8","6.2","1.3","0.3","0.1",".","3.0",".","8.2",".","1.3","1.3",".",".","."
"Undergraduates","","1032","3.768","57.0","20.3","6.0","1.6","0.4","0.1",".","2.0",".","10.9",".","0.9","0.9",".",".","."
"Special","","15","3.667","33.3","33.3","6.7",".",".",".",".","13.3",".",".",".",".","13.3",".",".","."
"Graduate","","317","3.849","65.0","15.1","4.4","0.3",".",".","0.3","11.7",".",".",".","0.9","2.2",".",".","."
"Prof Yr 2","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","College Total","1366","3.785","58.6","19.2","5.6","1.3","0.3","0.1","0.1","4.5",".","8.2",".","0.9","1.3",".",".","."
