"","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"TERM: 1032","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","",""
"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","N","NR","Other"
"938
SURG SCI","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","Dept. Total","633","3.256","16.6","10.3","16.0","2.8","2.5","",".","",".","34.1","",".",".","",".","12.8","0.2",".","4.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","80","3.392","33.8","28.8","26.3","1.3","8.8","",".","",".",".","",".",".","",".",".","1.3",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","324","3.039","4.6","12.7","24.7","5.2","2.8","",".","",".","25.0","",".",".","",".","25.0",".",".",".","."
"Prof Yr 4","","225","4.000","27.1",".",".",".",".","",".","",".","59.6","",".",".","",".",".",".",".","13.3","."
"Professionals","","631","3.256","16.6","10.1","16.0","2.9","2.5","",".","",".","34.1","",".",".","",".","12.8","0.2",".","4.8","."
"","Dept. Total","633","3.256","16.6","10.3","16.0","2.8","2.5","",".","",".","34.1","",".",".","",".","12.8","0.2",".","4.7","."
