"TERM : 1082","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2007-2008","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","",""
"SOIL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","","","",""
"SOIL SCI
908","Dept. Total","199","3.260","34.2","12.1","14.6","6.0","4.5","1.5","2.5","20.1","",".",".","",".","1.5","",".",".","3.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","11","3.188","36.4","18.2","27.3",".","18.2",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","37","2.727","29.7","10.8","21.6","8.1","10.8","8.1","10.8",".","",".",".","",".",".","",".",".",".","."
"Senior","","56","3.303","41.1","19.6","19.6","12.5","5.4",".","1.8",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","105","3.090","37.1","16.2","21.0","9.5","8.6","2.9","4.8",".","",".",".","",".",".","",".",".",".","."
"Special","","13","3.500","23.1",".","15.4",".",".",".",".","23.1","",".",".","",".",".","",".",".","38.5","."
"Graduate","","80","3.757","32.5","8.8","6.3","1.3",".",".",".","46.3","",".",".","",".","3.8","",".",".","1.3","."
"Prof Yr 3","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","199","3.260","34.2","12.1","14.6","6.0","4.5","1.5","2.5","20.1","",".",".","",".","1.5","",".",".","3.0","."
