"TERM : 1082","","","","Percentage Distribution of Grades","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2007-2008","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"CIV ENGR
Dept. Total
240","1070","3.363","38.7","17.0","19.2","4.7","5.6","1.6","0.6","10.2","0.4",".","",".","1.8","0.3",".","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","29","3.000","31.0","3.4","34.5","3.4","24.1",".",".",".",".",".","",".",".","3.4",".",".","."
"Junior","175","3.343","38.9","21.1","24.0","9.1","5.1","1.7",".",".",".",".","",".",".",".",".",".","."
"Senior","552","3.317","41.8","18.5","23.6","5.3","7.2","2.4","1.1",".",".",".","",".",".",".",".","0.2","."
"Undergraduates","758","3.313","40.9","18.5","24.0","6.1","7.4","2.1","0.8",".",".",".","",".",".","0.1",".","0.1","."
"Special","22","3.197","31.8","13.6","18.2","4.5","13.6","4.5",".","13.6",".",".","",".",".",".",".",".","."
"Graduate","289","3.682","33.2","13.5","6.6","1.0","0.3",".",".","36.7","1.4",".","",".","6.6","0.7",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Dept. Total","1070","3.363","38.7","17.0","19.2","4.7","5.6","1.6","0.6","10.2","0.4",".","",".","1.8","0.3",".","0.1","."
