"TERM : 1022","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2001-2002","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","","","",""
"NUCLEAR ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","","","","","",""
"N E
684","Dept. Total","159","3.317","25.2","15.1","27.0","3.1","3.1","","0.6","","0.6","14.5","",".","0.6","",".","8.2","","0.6",".","1.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","10","3.561","50.0","10.0","40.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","32","3.421","40.6","25.0","21.9","9.4","3.1","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","43","3.458","41.9","23.3","25.6","7.0","2.3","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","2","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","74","3.593","21.6","20.3","9.5",".",".","",".","",".","23.0","",".","5.4","",".","20.3","",".",".",".","."
"","Dept. Total","119","3.506","28.6","21.0","16.8","2.5","0.8","",".","",".","14.3","",".","3.4","",".","12.6","",".",".",".","."
