"","999
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"BIOCHEM
200","Dept. Total","1023","3.282","32.4","12.9","22.4","3.2","5.7","1.5","0.5","17.0",".",".",".","3.8","0.2",".","0.4","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","2.889","11.1","11.1","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","27","3.221","37.0","14.8","25.9","7.4","14.8",".",".",".",".",".",".",".",".",".",".","."
"Junior","","121","3.079","28.9","16.5","29.8","9.9","9.1","4.1","1.7",".",".",".",".",".",".",".",".","."
"Senior","","361","3.343","44.9","15.2","25.8","4.4","6.6","0.6","1.9",".",".",".",".",".","0.3","0.3",".","."
"Undergraduates","","518","3.260","40.2","15.4","26.8","6.4","7.7","1.4","1.7",".",".",".",".",".","0.2","0.2",".","."
"Special","","14","2.868","14.3","14.3","42.9",".","7.1","14.3",".","7.1",".",".",".",".",".",".",".","."
"Graduate","","387","3.507","30.5","9.8","16.3","1.8","0.3",".",".","32.6","0.3",".",".","8.5",".",".",".","."
"","Dept. Total","919","3.303","35.7","13.1","22.6","4.4","4.6","1.0","1.0","13.8","0.1",".",".","3.6","0.1","0.1",".","."
