"Rdgs-Contemp Hebrew Lit","533
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
005","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
008","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"JEWISH
510","Dept. Total","278","3.269","21.2","36.0","26.3","10.1","3.6","1.1","0.4","1.4","",".",".","",".","",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.034","22.2","33.3","16.7","11.1","5.6","5.6","5.6",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","32","3.265","31.3","21.9","28.1","12.5","3.1",".","3.1",".","",".",".","",".","",".",".",".",".","."
"Junior","","51","3.299","35.3","25.5","21.6","5.9","2.0","2.0","3.9","3.9","",".",".","",".","",".",".",".",".","."
"Senior","","113","3.394","31.9","31.0","18.6","5.3","3.5","2.7",".","4.4","",".",".","",".","",".","0.9","0.9",".","0.9"
"Undergraduates","","214","3.318","31.8","28.5","20.6","7.0","3.3","2.3","1.9","3.3","",".",".","",".","",".","0.5","0.5",".","0.5"
"Special","","5","4.000","40.0",".",".",".",".",".",".",".","",".",".","",".","",".","20.0",".","40.0","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","220","3.329","32.3","27.7","20.0","6.8","3.2","2.3","1.8","3.2","",".",".","",".","",".","0.9","0.5","0.9","0.5"
