"","765
000B","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","765
000A","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","Section Total","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Contemporary Topics","Course Total","2","***","","","","","","","","","","","","","","","","",""
"INTL BUS
235","Dept. Total","489","3.028","33.5","16.6","13.3","21.1","11.7","1.2","1.0","1.0",".",".",".",".","","0.2","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","2.250",".","25.0",".","25.0","25.0","25.0",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","97","2.879","11.3","27.8","20.6","21.6","13.4","3.1","2.1",".",".",".",".",".","",".",".",".","."
"Junior","","203","2.963","16.3","24.1","21.2","21.7","12.8","2.0","1.5","0.5",".",".",".",".","",".",".",".","."
"Senior","","185","3.198","31.4","20.5","18.9","11.9","11.9","1.6",".","3.2","0.5",".",".",".","",".",".",".","."
"Undergraduates","","489","3.026","20.9","23.5","20.0","18.0","12.7","2.2","1.0","1.4","0.2",".",".",".","",".",".",".","."
"Special","","16","3.367","43.8","25.0","6.3","6.3","6.3","6.3",".","6.3",".",".",".",".","",".",".",".","."
"Graduate","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","516","3.053","22.3","24.0","19.2","17.2","12.2","2.3","1.0","1.6","0.2",".",".",".","",".",".",".","."
