"Transp & Business Logistics","Course Total","","20","3.775","65.0","25.0","10.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Carrier Mgmt Principles","643
001","","6","3.750","50.0","50.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Public Utilities","725
001","","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Economics of Transportation","744
001","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"TRAN P U
243","Dept. Total","","51","3.422","41.2","27.5","15.7","9.8","3.9","2.0","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","5","2.700",".","20.0","20.0","40.0","20.0",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","9","3.389","22.2","44.4","22.2","11.1",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","16","3.219","31.3","25.0","25.0","6.3","6.3","6.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","30","3.183","23.3","30.0","23.3","13.3","6.7","3.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","4","3.625","50.0","25.0","25.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","17","3.794","70.6","23.5",".","5.9",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","51","3.422","41.2","27.5","15.7","9.8","3.9","2.0","",".","",".","",".",".","",".","",".","",".",".",".","."
