"TERM : 1142","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2013-2014","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN
Dept. Total
436","107","3.583","70.1","11.2","15.0","3.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","48","3.979","97.9",".","2.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","36","3.327","25.0","27.8","36.1","11.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","15","3.817","80.0","13.3","6.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","52","3.425","40.4","23.1","28.8","7.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","107","3.583","70.1","11.2","15.0","3.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
