"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"990","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","126","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","127","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","136","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","137","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","69","",".",".",".",".",".",".",".","87.0",".",".",".","13.0",".",".",".","."
