"","990
074","","5","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
078","","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","",".",".",".",".","",".","",".","",".","66.7","7.4",".",".","25.9",".",".",".","."
"C A V E
268","Dept. Total","","97","3.914","61.9","4.1","4.1",".","",".","",".","",".","18.6","2.1",".",".","7.2","1.0",".",".","1.0"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","","3","3.667","66.7",".","33.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","6","3.833","83.3",".","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","","86","3.915","58.1","4.7","3.5",".","",".","",".","",".","20.9","2.3",".",".","8.1","1.2",".",".","1.2"
"","Dept. Total","","97","3.914","61.9","4.1","4.1",".","",".","",".","",".","18.6","2.1",".",".","7.2","1.0",".",".","1.0"
