"","990
299","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","56","",".",".",".",".",".",".",".","69.6",".",".",".","30.4",".",".",".","."
"Seminar","992
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Consulting","998
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","2636","3.209","34.0","21.3","21.0","6.8","9.6","3.0","1.5","1.9",".",".",".","0.7","0.0","0.1","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","59","2.686","22.0","16.9","15.3","11.9","20.3","5.1","8.5",".",".",".",".",".",".",".",".","."
"Sophomore","","469","3.061","25.8","20.5","27.7","7.9","12.2","3.8","2.1",".",".",".",".",".",".",".",".","."
"Junior","","876","3.171","31.1","23.2","22.7","7.5","11.5","2.6","1.4",".",".",".",".",".",".",".",".","."
"Senior","","774","3.176","35.1","20.0","20.4","7.9","9.9","4.0","1.4","0.6",".",".",".","0.1","0.1",".","0.1","0.1"
"Undergraduates","","2178","3.135","31.1","21.3","22.8","7.9","11.3","3.4","1.7","0.2",".",".",".","0.0","0.0",".","0.0","0.0"
"Special","","56","3.421","50.0","23.2","10.7","1.8","5.4","3.6","1.8","1.8",".",".",".",".",".",".","1.8","."
"Graduate","","399","3.651","47.4","21.3","12.8","2.0","0.5",".",".","11.0",".",".",".","4.3",".","0.3","0.5","."
"Prof Yr 2","","2","2.000",".",".","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".","."
"Professionals","","3","2.000",".",".","33.3",".",".","33.3",".",".",".",".",".",".",".","33.3",".","."
"","Dept. Total","2636","3.209","34.0","21.3","21.0","6.8","9.6","3.0","1.5","1.9",".",".",".","0.7","0.0","0.1","0.2","0.0"
