"TERM : 1144","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2013-2014","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIATRICS","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT
708","Dept. Total","110","3.863","82.7","5.5","4.5",".","",".","",".","",".","5.5","",".",".","",".","",".","",".",".","1.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","15","3.941","93.3",".","6.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","28","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","44","3.979","97.7",".","2.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","40","4.000","80.0",".",".",".","",".","",".","",".","15.0","",".",".","",".","",".","",".",".","5.0","."
"Prof Yr 3","","15","3.659","46.7","40.0","13.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","9","3.778","77.8",".","22.2",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","24","3.694","58.3","25.0","16.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","110","3.863","82.7","5.5","4.5",".","",".","",".","",".","5.5","",".",".","",".","",".","",".",".","1.8","."
