"TERM : 1052","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2004-2005","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","317","3.626","53.3","24.0","14.8","0.3","",".","",".","",".","6.0","0.6",".","",".","",".","",".",".","0.3","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","5","4.000","80.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".","20.0","."
"Undergraduates","","11","4.000","90.9",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".","9.1","."
"Special","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","3","",".",".",".",".","",".","",".","",".",".","66.7",".","",".","",".","",".",".",".","33.3"
"Prof Yr 2","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","85","3.401","29.4","29.4","37.6","1.2","",".","",".","",".","1.2",".",".","",".","",".","",".",".",".","1.2"
"Prof Yr 4","","215","3.811","61.4","23.3","7.0",".","",".","",".","",".","8.4",".",".","",".","",".","",".",".",".","."
"Professionals","","305","3.619","51.8","24.9","15.4","0.3","",".","",".","",".","6.2","0.7",".","",".","",".","",".",".",".","0.7"
"","Dept. Total","317","3.626","53.3","24.0","14.8","0.3","",".","",".","",".","6.0","0.6",".","",".","",".","",".",".","0.3","0.6"
