"","201
002","","10","3.800","70.0","20.0","10.0",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Evolution of US Air & Space I","Course Total","","17","3.882","82.4","11.8","5.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Studies I","303
001","","19","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"National Security Affairs","401
001","","13","3.962","92.3","7.7",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","61","3.972","93.4","4.9","1.6",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","9","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","16","3.917","87.5","6.3","6.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","19","3.990","94.7","5.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","17","3.968","94.1","5.9",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","61","3.972","93.4","4.9","1.6",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","61","3.972","93.4","4.9","1.6",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
