"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","",""
"","103
001","","13","3.269","69.2","7.7","7.7",".",".","",".","15.4",".",".","",".",".","",".","",".","",".",".","."
"","103
002","","10","3.200","20.0","30.0","20.0","30.0","",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"First Semester Greek","Course Total","","23","3.239","47.8","17.4","13.0","13.0","",".",".","8.7",".","",".",".","",".","",".","",".",".",".","."
"","303
001","","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","303
002","","6","3.143","50.0","16.7",".","16.7","",".","16.7",".",".",".","",".",".","",".","",".","",".",".","."
"First Semester Greek","Course Total","","10","3.167","60.0","10.0",".","10.0","",".","20.0",".",".","",".",".","",".","",".","",".",".",".","."
"Intermediate Greek","305
001","","11","3.591","45.5","27.3","27.3",".","",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Greek Tragedy","521
001","","13","3.462","53.8","30.8","7.7",".","",".",".","7.7",".",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
020","","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Graduate Survey","801
001","","9","4.000","100.0",".",".",".","",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","890
002","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"GREEK
428","Dept. Total","","69","3.415","58.0","17.4","10.1","5.8","",".","2.9","4.3","1.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","3.000",".","50.0",".","50.0","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","9","3.714","66.7","11.1","22.2",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","11","3.550","63.6","18.2","9.1",".","",".","9.1",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","2.952","36.8","26.3","21.1",".","",".","5.3","10.5",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","43","3.288","46.5","23.3","16.3","4.7","",".","4.7","4.7",".","",".",".","",".","",".","",".",".",".","."
"Special","","","4","2.714","50.0",".",".","25.0","",".",".","25.0",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","22","3.881","81.8","9.1",".","4.5","",".",".",".","4.5","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","69","3.415","58.0","17.4","10.1","5.8","",".","2.9","4.3","1.4","",".",".","",".","",".","",".",".",".","."
