"Term:","","","1124","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","","","","","","Friday, March 02, 2012"
"","","","","","","University of Wisconsin - Madison","","","","","","","",""
"","","","","","","Office of the Registrar","","","","","","","",""
"","","","","","","","","","","","Facil ID","Comb Enrl","Tot Enrl","Emplid"
"A1","151","604","LAB","13:20","16:20","","T","","","","0402 0577","21","16","0000765915"
"A1","151","605","LAB","17:00","20:00","","T","","","","0402 0577","22","14","0000765915"
"A1","151","606","LAB","13:20","16:20","","","W","","","0402 0577","21","13","0000765915"
"A1","151","607","LAB","17:00","20:00","","","W","","","0402 0577","20","14","0003466076"
"A1","151","608","LAB","08:50","11:50","","","","R","","0402 0577","22","17","0004269097"
"A1","151","609","LAB","13:20","16:20","","","","R","","0402 0577","21","12","0003466076"
"A1","151","610","LAB","17:00","20:00","","","","R","","0402 0577","19","13","0003466076"
"A1","151","611","LAB","17:00","20:00","","","W","","","0402 0569","20","13","0004153582"
"A1","151","612","LAB","17:00","20:00","","","","R","","0402 0569","20","16","0004269097"
"A1","151","613","LAB","13:20","16:20","","T","","","","0402 0569","22","3","0004153582"
"A1","151","614","LAB","17:00","20:00","","T","","","","0402 0569","19","1","0004532751"
"A1","152","001","LEC","11:00","11:50","M","","W","","F","0054 0145","302","211","0003356803"
"A1","152","001","LEC","11:00","11:50","M","","W","","F","0054 0145","302","211","0002600025"
"A1","152","001","LEC","11:00","11:50","M","","W","","F","0054 0145","302","211","0002600114"
"A1","152","002","LEC","12:05","12:55","M","","W","","F","0050 0272","298","220","0003118430"
"A1","152","002","LEC","12:05","12:55","M","","W","","F","0050 0272","298","220","0000923157"
"A1","152","002","LEC","12:05","12:55","M","","W","","F","0050 0272","298","220","0004914974"
"A1","152","003","LEC","13:20","14:10","M","","W","","F","0470 0105","187","138","0000840328"
"A1","152","003","LEC","13:20","14:10","M","","W","","F","0470 0105","187","138","0002601282"
"A1","152","003","LEC","13:20","14:10","M","","W","","F","0470 0105","187","138","0002600911"
"A1","152","301","DIS","12:05","12:55","","T","","","","0402 0455","21","13","0003992278"
"A1","152","302","DIS","08:50","09:40","","T","","","","0402 0455","20","15","0004905564"
